 T.SK. SIEVIETES,10,229,0,3,242
 7-18(NEIESKAITOT) GADU VECUMĀ,15,883,1,9,908
 T.SK. VĪRIEŠI,6,467,0,5,478
 T.SK. SIEVIETES,9,416,1,4,430
Kopā,41,1403,1,13,1458
AIZPUTES NOVADS,9,600,0,1,610
 T.SK. VĪRIEŠI,5,309,0,1,315
 T.SK. SIEVIETES,4,291,0,0,295
 7-18(NEIESKAITOT) GADU VECUMĀ,11,1080,1,9,1101
 T.SK. VĪRIEŠI,3,576,0,6,585
 T.SK. SIEVIETES,8,504,1,3,516
Kopā,20,1680,1,10,1711
AKNĪSTES NOVADS,2,145,0,0,147
 T.SK. VĪRIEŠI,0,80,0,0,80
 T.SK. SIEVIETES,2,65,0,0,67
 7-18(NEIESKAITOT) GADU VECUMĀ,0,256,1,0,257
 T.SK. VĪRIEŠI,0,129,0,0,129
 T.SK. SIEVIETES,0,127,1,0,128
Kopā,2,401,1,0,404
ALOJAS NOVADS,17,319,0,0,336
 T.SK. VĪRIEŠI,13,169,0,0,182
 T.SK. SIEVIETES,4,150,0,0,154
 7-18(NEIESKAITOT) GADU VECUMĀ,22,544,0,0,566
 T.SK. VĪRIEŠI,12,267,0,0,279
 T.SK. SIEVIETES,10,277,0,0,287
Kopā,39,863,0,0,902
ALSUNGAS NOVADS,4,80,0,0,84
 T.SK. VĪRIEŠI,2,44,0,0,46
 T.SK. SIEVIETES,2,36,0,0,38
 7-18(NEIESKAITOT) GADU VECUMĀ,0,165,2,1,168
 T.SK. VĪRIEŠI,0,73,1,1,75
 T.SK. SIEVIETES,0,92,1,0,93
Kopā,4,245,2,1,252
ALŪKSNES NOVADS,48,1014,2,2,1066
 T.SK. VĪRIEŠI,26,516,0,2,544
 T.SK. SIEVIETES,22,498,2,0,522
 7-18(NEIESKAITOT) GADU VECUMĀ,2,1795,4,8,1809
 T.SK. VĪRIEŠI,2,888,3,3,896
 T.SK. SIEVIETES,0,907,1,5,913
Kopā,50,2809,6,10,2875
AMATAS NOVADS,26,346,0,0,372
 T.SK. VĪRIEŠI,10,176,0,0,186
 T.SK. SIEVIETES,16,170,0,0,186
 7-18(NEIESKAITOT) GADU VECUMĀ,9,677,0,1,687
 T.SK. VĪRIEŠI,5,353,0,1,359
 T.SK. SIEVIETES,4,324,0,0,328
Kopā,35,1023,0,1,1059
APES NOVADS,4,232,0,0,236
 T.SK. VĪRIEŠI,2,120,0,0,122
 T.SK. SIEVIETES,2,112,0,0,114
 7-18(NEIESKAITOT) GADU VECUMĀ,0,398,0,0,398
 T.SK. VĪRIEŠI,0,204,0,0,204
 T.SK. SIEVIETES,0,194,0,0,194
Kopā,4,630,0,0,634
AUCES NOVADS,12,417,0,2,431
 T.SK. VĪRIEŠI,8,224,0,2,234
 T.SK. SIEVIETES,4,193,0,0,197
 7-18(NEIESKAITOT) GADU VECUMĀ,2,820,0,9,831
 T.SK. VĪRIEŠI,1,414,0,5,420
 T.SK. SIEVIETES,1,406,0,4,411
Kopā,14,1237,0,11,1262
ĀDAŽU NOVADS,16,1127,0,1,1144
 T.SK. VĪRIEŠI,6,579,0,1,586
 T.SK. SIEVIETES,10,548,0,0,558
 7-18(NEIESKAITOT) GADU VECUMĀ,7,1405,0,22,1434
 T.SK. VĪRIEŠI,2,716,0,10,728
 T.SK. SIEVIETES,5,689,0,12,706
Kopā,23,2532,0,23,2578
BABĪTES NOVADS,10,1046,0,2,1058
 T.SK. VĪRIEŠI,5,515,0,1,521
 T.SK. SIEVIETES,5,531,0,1,537
 7-18(NEIESKAITOT) GADU VECUMĀ,6,1383,0,8,1397
 T.SK. VĪRIEŠI,0,699,0,3,702
 T.SK. SIEVIETES,6,684,0,5,695
Kopā,16,2429,0,10,2455
BALDONES NOVADS,2,434,0,1,437
 T.SK. VĪRIEŠI,1,227,0,1,229
 T.SK. SIEVIETES,1,207,0,0,208
 7-18(NEIESKAITOT) GADU VECUMĀ,6,728,0,6,740
 T.SK. VĪRIEŠI,2,382,0,4,388
 T.SK. SIEVIETES,4,346,0,2,352
Kopā,8,1162,0,7,1177
BALTINAVAS NOVADS,0,51,0,0,51
 T.SK. VĪRIEŠI,0,27,0,0,27
 T.SK. SIEVIETES,0,24,0,0,24
 7-18(NEIESKAITOT) GADU VECUMĀ,1,113,0,0,114
 T.SK. VĪRIEŠI,0,55,0,0,55
 T.SK. SIEVIETES,1,58,0,0,59
Kopā,1,164,0,0,165
BALVU NOVADS,28,768,1,4,801
 T.SK. VĪRIEŠI,18,410,1,1,430
 T.SK. SIEVIETES,10,358,0,3,371
 7-18(NEIESKAITOT) GADU VECUMĀ,7,1422,0,9,1438
 T.SK. VĪRIEŠI,3,746,0,7,756
 T.SK. SIEVIETES,4,676,0,2,682
Kopā,35,2190,1,13,2239
BAUSKAS NOVADS,49,1672,2,7,1730
 T.SK. VĪRIEŠI,26,861,1,6,894
 T.SK. SIEVIETES,23,811,1,1,836
 7-18(NEIESKAITOT) GADU VECUMĀ,9,2769,0,13,2791
 T.SK. VĪRIEŠI,5,1399,0,8,1412
 T.SK. SIEVIETES,4,1370,0,5,1379
Kopā,58,4441,2,20,4521
BEVERĪNAS NOVADS,8,221,2,1,232
 T.SK. VĪRIEŠI,4,118,1,0,123
 T.SK. SIEVIETES,4,103,1,1,109
 7-18(NEIESKAITOT) GADU VECUMĀ,2,329,0,1,332
 T.SK. VĪRIEŠI,0,171,0,1,172
 T.SK. SIEVIETES,2,158,0,0,160
 Kopā,10,550,2,2,564
BROCĒNU NOVADS,1,392,0,3,396
 T.SK. VĪRIEŠI,1,198,0,1,200
 T.SK. SIEVIETES,0,194,0,2,196
 7-18(NEIESKAITOT) GADU VECUMĀ,10,712,0,2,724
 T.SK. VĪRIEŠI,5,367,0,2,374
 T.SK. SIEVIETES,5,345,0,0,350
Kopā,11,1104,0,5,1120
BURTNIEKU NOVADS,2,549,0,0,551
 T.SK. VĪRIEŠI,0,277,0,0,277
 T.SK. SIEVIETES,2,272,0,0,274
 7-18(NEIESKAITOT) GADU VECUMĀ,4,866,0,1,871
 T.SK. VĪRIEŠI,3,443,0,1,447
 T.SK. SIEVIETES,1,423,0,0,424
Kopā,6,1415,0,1,1422
CARNIKAVAS NOVADS,9,520,1,0,530
 T.SK. VĪRIEŠI,7,262,0,0,269
 T.SK. SIEVIETES,2,258,1,0,261
 7-18(NEIESKAITOT) GADU VECUMĀ,7,646,0,9,662
 T.SK. VĪRIEŠI,5,348,0,5,358
 T.SK. SIEVIETES,2,298,0,4,304
Kopā,16,1166,1,9,1192
CESVAINES NOVADS,1,124,0,0,125
 T.SK. VĪRIEŠI,1,70,0,0,71
 T.SK. SIEVIETES,0,54,0,0,54
 7-18(NEIESKAITOT) GADU VECUMĀ,0,302,3,0,305
 T.SK. VĪRIEŠI,0,168,2,0,170
 T.SK. SIEVIETES,0,134,1,0,135
Kopā,1,426,3,0,430
CĒSU NOVADS,27,1297,0,6,1330
 T.SK. VĪRIEŠI,16,670,0,1,687
 T.SK. SIEVIETES,11,627,0,5,643
 7-18(NEIESKAITOT) GADU VECUMĀ,7,1847,0,29,1883
 T.SK. VĪRIEŠI,3,929,0,16,948
 T.SK. SIEVIETES,4,918,0,13,935
Kopā,34,3144,0,35,3213
CIBLAS NOVADS,6,153,0,0,159
 T.SK. VĪRIEŠI,3,71,0,0,74
 T.SK. SIEVIETES,3,82,0,0,85
 7-18(NEIESKAITOT) GADU VECUMĀ,2,262,1,0,265
 T.SK. VĪRIEŠI,1,125,1,0,127
 T.SK. SIEVIETES,1,137,0,0,138
Kopā,8,415,1,0,424
DAGDAS NOVADS,11,384,0,0,395
 T.SK. VĪRIEŠI,6,198,0,0,204
 T.SK. SIEVIETES,5,186,0,0,191
 7-18(NEIESKAITOT) GADU VECUMĀ,15,838,1,0,854
 T.SK. VĪRIEŠI,6,434,1,0,441
 T.SK. SIEVIETES,9,404,0,0,413
Kopā,26,1222,1,0,1249
DAUGAVPILS NOVADS,60,1251,1,1,1313
 T.SK. VĪRIEŠI,29,644,0,0,673
 T.SK. SIEVIETES,31,607,1,1,640
 7-18(NEIESKAITOT) GADU VECUMĀ,11,2267,2,19,2299
 T.SK. VĪRIEŠI,5,1166,2,9,1182
 T.SK. SIEVIETES,6,1101,0,10,1117
Kopā,71,3518,3,20,3612
DOBELES NOVADS,13,1432,1,6,1452
 T.SK. VĪRIEŠI,5,738,1,3,747
 T.SK. SIEVIETES,8,694,0,3,705
 7-18(NEIESKAITOT) GADU VECUMĀ,8,2444,0,25,2477
 T.SK. VĪRIEŠI,5,1237,0,12,1254
 T.SK. SIEVIETES,3,1207,0,13,1223
Kopā,21,3876,1,31,3929
DUNDAGAS NOVADS,6,255,0,0,261
 T.SK. VĪRIEŠI,4,132,0,0,136
 T.SK. SIEVIETES,2,123,0,0,125
 7-18(NEIESKAITOT) GADU VECUMĀ,21,427,0,1,449
 T.SK. VĪRIEŠI,10,232,0,0,242
 T.SK. SIEVIETES,11,195,0,1,207
Kopā,27,682,0,1,710
DURBES NOVADS,0,175,0,0,175
 T.SK. VĪRIEŠI,0,86,0,0,86
 T.SK. SIEVIETES,0,89,0,0,89
 7-18(NEIESKAITOT) GADU VECUMĀ,0,315,0,4,319
 T.SK. VĪRIEŠI,0,159,0,1,160
 T.SK. SIEVIETES,0,156,0,3,159
Kopā,0,490,0,4,494
ENGURES NOVADS,12,401,0,0,413
 T.SK. VĪRIEŠI,7,205,0,0,212
 T.SK. SIEVIETES,5,196,0,0,201
 7-18(NEIESKAITOT) GADU VECUMĀ,3,728,0,1,732
 T.SK. VĪRIEŠI,2,389,0,0,391
 T.SK. SIEVIETES,1,339,0,1,341
Kopā,15,1129,0,1,1145
ĒRGĻU NOVADS,6,165,0,0,171
 T.SK. VĪRIEŠI,3,80,0,0,83
 T.SK. SIEVIETES,3,85,0,0,88
 7-18(NEIESKAITOT) GADU VECUMĀ,2,304,0,0,306
 T.SK. VĪRIEŠI,0,141,0,0,141
 T.SK. SIEVIETES,2,163,0,0,165
Kopā,8,469,0,0,477
GARKALNES NOVADS,19,693,0,0,712
 T.SK. VĪRIEŠI,8,357,0,0,365
 T.SK. SIEVIETES,11,336,0,0,347
 7-18(NEIESKAITOT) GADU VECUMĀ,13,1057,0,5,1075
 T.SK. VĪRIEŠI,7,555,0,4,566
 T.SK. SIEVIETES,6,502,0,1,509
Kopā,32,1750,0,5,1787
GROBIŅAS NOVADS,7,623,0,1,631
T.SK. VĪRIEŠI,3,314,0,1,318
 T.SK. SIEVIETES,4,309,0,0,313
 7-18(NEIESKAITOT) GADU VECUMĀ,4,1086,0,8,1098
 T.SK. VĪRIEŠI,3,567,0,2,572
 T.SK. SIEVIETES,1,519,0,6,526
Kopā,11,1709,0,9,1729
GULBENES NOVADS,25,1346,4,4,1379
 T.SK. VĪRIEŠI,13,679,0,2,694
 T.SK. SIEVIETES,12,667,4,2,685
 7-18(NEIESKAITOT) GADU VECUMĀ,11,2411,1,13,2436
 T.SK. VĪRIEŠI,7,1280,0,6,1293
 T.SK. SIEVIETES,4,1131,1,7,1143
Kopā,36,3757,5,17,3815
IECAVAS NOVADS,8,685,1,5,699
 T.SK. VĪRIEŠI,3,344,1,3,351
 T.SK. SIEVIETES,5,341,0,2,348
 7-18(NEIESKAITOT) GADU VECUMĀ,13,1080,0,13,1106
 T.SK. VĪRIEŠI,7,562,0,6,575
 T.SK. SIEVIETES,6,518,0,7,531
Kopā,21,1765,1,18,1805
IKŠĶILES NOVADS,4,909,0,3,916
 T.SK. VĪRIEŠI,1,475,0,3,479
 T.SK. SIEVIETES,3,434,0,0,437
 7-18(NEIESKAITOT) GADU VECUMĀ,1,1181,0,6,1188
 T.SK. VĪRIEŠI,0,576,0,4,580
 T.SK. SIEVIETES,1,605,0,2,608
Kopā,5,2090,0,9,2104
ILŪKSTES NOVADS,4,404,0,1,409
 T.SK. VĪRIEŠI,2,199,0,0,201
 T.SK. SIEVIETES,2,205,0,1,208
 7-18(NEIESKAITOT) GADU VECUMĀ,1,794,0,4,799
 T.SK. VĪRIEŠI,1,390,0,3,394
 T.SK. SIEVIETES,0,404,0,1,405
Kopā,5,1198,0,5,1208
INČUKALNA NOVADS,15,577,0,3,595
 T.SK. VĪRIEŠI,11,301,0,3,315
 T.SK. SIEVIETES,4,276,0,0,280
 7-18(NEIESKAITOT) GADU VECUMĀ,11,832,0,13,856
 T.SK. VĪRIEŠI,3,438,0,7,448
 T.SK. SIEVIETES,8,394,0,6,408
Kopā,26,1409,0,16,1451
JAUNJELGAVAS NOVADS,13,333,0,2,348
 T.SK. VĪRIEŠI,8,170,0,1,179
 T.SK. SIEVIETES,5,163,0,1,169
 7-18(NEIESKAITOT) GADU VECUMĀ,13,608,1,4,626
 T.SK. VĪRIEŠI,10,305,1,2,318
 T.SK. SIEVIETES,3,303,0,2,308
Kopā,26,941,1,6,974
JAUNPIEBALGAS NOVADS,11,131,0,0,142
 T.SK. VĪRIEŠI,2,59,0,0,61
 T.SK. SIEVIETES,9,72,0,0,81
 7-18(NEIESKAITOT) GADU VECUMĀ,3,258,2,3,266
 T.SK. VĪRIEŠI,0,113,1,1,115
 T.SK. SIEVIETES,3,145,1,2,151
Kopā,14,389,2,3,408
JAUNPILS NOVADS,10,165,0,0,175
 T.SK. VĪRIEŠI,4,82,0,0,86
 T.SK. SIEVIETES,6,83,0,0,89
 7-18(NEIESKAITOT) GADU VECUMĀ,0,276,0,0,276
 T.SK. VĪRIEŠI,0,132,0,0,132
 T.SK. SIEVIETES,0,144,0,0,144
Kopā,10,441,0,0,451
JELGAVAS NOVADS,19,1430,0,5,1454
 T.SK. VĪRIEŠI,15,728,0,3,746
 T.SK. SIEVIETES,4,702,0,2,708
 7-18(NEIESKAITOT) GADU VECUMĀ,28,2583,1,15,2627
 T.SK. VĪRIEŠI,14,1324,0,8,1346
 T.SK. SIEVIETES,14,1259,1,7,1281
Kopā,47,4013,1,20,4081
JĒKABPILS NOVADS,6,256,1,4,267
 T.SK. VĪRIEŠI,2,107,1,3,113
 T.SK. SIEVIETES,4,149,0,1,154
 7-18(NEIESKAITOT) GADU VECUMĀ,2,475,0,0,477
